RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3433355321.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0
3433351077.0,,,172.7,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,3.0,2.0,8.0
3433347213.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,2.0,0.0
3433343494.0,,,170.2,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,3.0,3.0,3.0
3433342645.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,2.0,2.0,4.0
3433339828.0,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,2.0,6.0
3433339691.0,,,180.3,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,,4.0,6.0
3433339394.0,,,177.8,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,2.0,3.0,0.0
3433335323.0,,,193.0,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,2.0,0.0
3433334272.0,,,177.8,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,,3.0,0.0
3433333817.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,1.0,3.0
3433332557.0,,,175.3,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,,4.0,6.0
3433330676.0,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,4.0,0.0
3433329602.0,,,180.3,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,5.0
3433327095.0,,,172.7,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,3.0,4.0,7.0
3433323600.0,,,177.8,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,3.0,1.0,3.0,1.0
3433322189.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,3.0,2.0,4.0
3433321137.0,,,195.6,1.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,2.0,1.0,3.0,0.0
3433314320.0,,,185.4,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,3.0,3.0,2.0,0.0
3433313301.0,,,175.3,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,2.0,2.0,4.0,7.0
3433312937.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0
3433309728.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3433309493.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,1.0,0.0
3433308627.0,,,162.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,2.0,4.0,1.0
3433307964.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,7.0
3433307757.0,,,165.1,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,,4.0,6.0
3433307051.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,1.0,1.0
3433305065.0,,,152.4,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,,4.0,0.0
3433304709.0,,,167.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,2.0,4.0,1.0
3433304455.0,,,152.4,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,4.0,4.0,6.0
3433303387.0,,,180.3,0.0,,,,,,,,,1.0,,,,,,,1.0,0.0,0.0,3.0,4.0,3.0,3.0
3433300838.0,,,167.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,1.0,1.0,2.0
3433300075.0,,,185.4,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,3.0,3.0,6.0
3433299462.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,2.0,3.0,7.0
3433297138.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,4.0,3.0
3433294983.0,,,160.0,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,3.0,2.0,3.0,4.0
3433292275.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,3.0,0.0
3433292263.0,,,167.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,2.0,3.0,0.0
3433292155.0,,,160.0,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,3.0,,3.0,6.0
3433292151.0,,,162.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,2.0,4.0,5.0
3433289256.0,,,165.1,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,2.0,4.0,0.0
3433285778.0,,,175.3,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,3.0,,4.0,1.0
3433285772.0,,,165.1,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,3.0,1.0,4.0,2.0
3433285767.0,,,167.6,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,0.0,1.0,4.0
3433284694.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,2.0,2.0,7.0
3433284218.0,,,162.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,1.0,2.0,0.0
3433282292.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,2.0,2.0,0.0
3433282169.0,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,3.0,7.0
3433281784.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,3.0,3.0,0.0
3433280971.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,3.0,4.0
3433280373.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,2.0,6.0
3433279839.0,,,165.1,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,1.0,2.0,0.0
3433279798.0,,,193.0,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,4.0,4.0,0.0
